@nxr	Rel_Inc	NIIY	tby	tradey	totqn	resid_ave	resid_diff	resid_diff2	resid_ECM1	resid_ECM2	resid_ECM3	resid_ECM3srlr	resid_ECM3sr	resid_home	resid_foreign@
-0.3292663	-0.059124	-0.0013167	-0.0259921	0.1308467	-0.2432815	-0.1247255	-0.013728	-0.1441309	-0.0116602	-0.0114852	-0.0153404	-0.0153404	-0.0186514	0.3400131	0.3246727
-0.3004716	-0.0542395	-0.0011084	-0.0245231	0.132717	-0.2407969	-0.101519	0.0238805	-0.1205623	0.0222192	0.0245027	0.0229314	0.0229314	0.020605	0.3249013	0.3478327
-0.2938282	-0.0440962	0.0050157	-0.0238525	0.1313702	-0.1824316	-0.1215497	-0.0112126	-0.132087	-0.0104388	-0.0094714	-0.0061011	-0.0061011	-0.0097345	0.3196557	0.3135546
-0.2781446	-0.0388968	0.002783	-0.0233156	0.1340184	-0.143526	-0.1220848	0.0054469	-0.126952	0.0016889	0.0015883	0.0073187	0.0073187	0.0126271	0.3523821	0.3597008
-0.254861	-0.0292711	-0.0002329	-0.0222357	0.1366996	-0.1454397	-0.1078849	0.014233	-0.1130309	0.007786	0.0116939	0.0085163	0.0085163	0.0145765	0.3368793	0.3453957
-0.2409946	-0.0310173	0.0101897	-0.0215732	0.1383749	-0.1008812	-0.1048926	0.0097981	-0.1035448	0.0052351	0.0018988	0.0006543	0.0006543	0.0035618	0.3432639	0.3439181
-0.182253	0.0016725	0.0022304	-0.0178552	0.140455	-0.0648813	-0.0890371	0.0214141	-0.0824426	0.0147115	0.025156	0.0328189	0.0328189	0.0452373	0.3312546	0.3640735
-0.1430835	-0.0049481	0.0030534	-0.0150305	0.1394164	-0.0572865	-0.045398	0.0450578	-0.0376968	0.0371165	0.0337214	0.0228699	0.0228699	0.0308217	0.3028944	0.3257644
-0.1468134	0.0031917	0.0025182	-0.0155326	0.1416522	-0.1167283	-0.040432	-0.003385	-0.0413937	-0.0100564	-0.003614	-0.001226	-0.001226	0.0047324	0.3440065	0.3427805
-0.146937	-0.000457	0.0034259	-0.0158056	0.1440624	-0.0699824	-0.0501468	-0.0025901	-0.0442958	-0.0040739	-0.0083731	-0.0099448	-0.0099448	-0.008125	0.3516264	0.3416816
-0.1221326	-0.007792	0.0066914	-0.0141187	0.1448887	-0.0728936	-0.0171828	0.0328516	-0.0117561	0.0275283	0.0245488	0.0256243	0.0256243	0.0314313	0.3307354	0.3563597
-0.0840409	0.0068586	0.0050878	-0.0115445	0.1469752	-0.0945093	0.0123805	0.026725	0.014657	0.0233713	0.0301759	0.0325808	0.0325808	0.0381951	0.3321586	0.3647394
-0.0723767	0.005574	0.0013927	-0.010655	0.1464636	-0.1077998	0.0290936	0.015088	0.0294331	0.014892	0.0150871	0.0110517	0.0110517	0.0122897	0.3153186	0.3263702
-0.0754787	0.0152707	0.0020225	-0.0110393	0.148595	-0.0875495	0.0105594	-0.0152709	0.0138502	-0.013099	-0.0105533	-0.0144899	-0.0144899	-0.0176993	0.3384219	0.323932
-0.064082	0.0128434	0.001833	-0.0104615	0.1524511	-0.0681636	0.0188927	0.0114705	0.0250088	0.0114153	0.0091484	0.0099913	0.0099913	0.0096549	0.3560619	0.3660532
-0.0500737	0.0256643	0.004576	-0.009408	0.1526099	-0.0893126	0.0260701	0.004407	0.029104	0.003207	0.0092744	0.011096	0.011096	0.0111765	0.321702	0.332798
-0.0383516	0.0457528	0.0029942	-0.0085263	0.1527837	-0.0370221	0.0028935	-0.015244	0.0135481	-0.013586	-0.0090063	-0.0073393	-0.0073393	-0.007092	0.3272069	0.3198676
-0.0024555	0.0812817	-0.0014146	-0.0057817	0.1525592	0.0328597	-0.016532	-0.0089289	0.0043071	-0.0110313	-0.0017533	-0.0055197	-0.0055197	-0.0017475	0.3087331	0.3032134
0.0151975	0.1061473	-0.0022559	-0.0044442	0.152816	-0.0062712	-0.0126615	-0.0015206	0.0024747	-0.0103256	0.0010089	-0.0009024	-0.0009024	0.0052146	0.308126	0.3072236
0.0332599	0.1061354	-0.0026527	-0.0031228	0.1557021	-0.0633627	0.0215828	0.0262358	0.0283986	0.0192692	0.0221497	0.0254978	0.0254978	0.0285139	0.3367896	0.3622875
0.0289506	0.1018665	0.0001114	-0.0035311	0.1589907	-0.0677814	0.0227939	0.0008791	0.0289657	-0.0000708	-0.0017296	0.0019095	0.0019095	-0.0009925	0.3477394	0.349649
0.0293706	0.0939469	0.0038596	-0.0035602	0.1618266	-0.0333201	0.0213731	0.0039134	0.0325672	0.0039746	-0.0014441	0.0036961	0.0036961	0.0023507	0.3482969	0.351993
0.0400726	0.0920248	0.000285	-0.0026965	0.1619432	-0.0274967	0.0323478	0.0121354	0.0443906	0.0098908	0.00838	0.0117371	0.0117371	0.0150475	0.3339415	0.3456786
0.0241091	0.0618505	0.002743	-0.0039789	0.1615539	-0.0245318	0.0457188	0.014115	0.0581938	0.012256	-0.0001638	-0.0040305	-0.0040305	-0.0035877	0.3325633	0.3285328
0.0294824	0.0533962	0.0024911	-0.0035756	0.1629406	0.0175693	0.0476221	0.0083511	0.0662328	0.0079478	0.0016601	0.0035441	0.0035441	0.004925	0.3428967	0.3464409
0.0108855	0.0296004	0.0028278	-0.0051135	0.1637055	-0.0278035	0.065672	0.0117492	0.0776701	0.0078031	0.0005942	0.0005766	0.0005766	0.0040841	0.3426905	0.3432671
-0.0082691	0.0244851	0.0048811	-0.0067487	0.1654063	-0.0505612	0.0580784	-0.0105984	0.0667598	-0.0107205	-0.0117407	-0.0106234	-0.0106234	-0.010743	0.3431418	0.3325184
-0.0168124	0.021436	0.00327	-0.0075316	0.1671289	-0.0252603	0.0454182	-0.0086609	0.0577869	-0.0072862	-0.0102991	-0.00996	-0.00996	-0.0094644	0.3449208	0.3349607
-0.0325396	0.0255063	0.0002204	-0.0088492	0.1672521	-0.0372452	0.0290152	-0.0178377	0.0396372	-0.0192202	-0.0173262	-0.0200669	-0.0200669	-0.0183462	0.3337488	0.3136819
-0.0401025	-0.0024679	0.0017921	-0.009696	0.1710673	-0.0470624	0.052207	0.0220729	0.0613983	0.020236	0.0094975	0.0066417	0.0066417	0.0067063	0.3567981	0.3634398
-0.0535044	-0.0196512	0.0056113	-0.0109149	0.1722787	-0.0725269	0.0632007	0.0075945	0.0686809	0.0074775	0.0019808	0.0055114	0.0055114	0.0044946	0.3493624	0.3548737
-0.0567506	-0.0197237	0.0099885	-0.0114356	0.1760077	-0.0568	0.0555727	-0.0050241	0.0633449	-0.0024138	-0.0035669	0.0001515	0.0001515	-0.0004717	0.3657418	0.3658934
-0.0478377	0.0013855	0.0061974	-0.010936	0.1806602	-0.0190967	0.0326977	-0.0170682	0.0459647	-0.0153253	-0.0096005	-0.009506	-0.009506	-0.0056974	0.3609186	0.3514126
-0.0527395	-0.0076473	0.0086148	-0.0115394	0.1832377	-0.0123094	0.0349063	0.0035097	0.0491625	0.0013333	-0.0030817	-0.0107347	-0.0107347	-0.0057783	0.3494937	0.3387589
-0.0553105	-0.0032413	0.0071776	-0.011976	0.1863808	-0.0349845	0.0343516	-0.0035474	0.0453031	-0.0064523	-0.0038539	-0.004323	-0.004323	0.0025307	0.3550085	0.3506855
-0.0508751	0.0020106	0.0040802	-0.0116576	0.1878855	0.0214149	0.017561	-0.008259	0.0367322	-0.0086369	-0.0103808	-0.0171925	-0.0171925	-0.0125947	0.3422922	0.3250996
-0.0119668	0.0002439	0.0009208	-0.0081205	0.1904147	0.0039544	0.0631814	0.0433877	0.0798078	0.0377869	0.0374684	0.031857	0.031857	0.0387395	0.332422	0.3642789
-0.0105211	-0.0074184	0.0014687	-0.008034	0.1916305	-0.0197758	0.0790105	0.0126826	0.0921785	0.0108254	0.0087053	0.0059517	0.0059517	0.0065288	0.3411753	0.3471269
-0.0304429	-0.0071847	0.0001933	-0.0100979	0.194701	-0.0310191	0.0620394	-0.0182977	0.0735689	-0.017722	-0.0173735	-0.0157452	-0.0157452	-0.0172488	0.3656147	0.3498695
-0.0364646	-0.0327942	0.0028112	-0.0107034	0.1950827	-0.0362422	0.0831066	0.0206179	0.0938748	0.0207363	0.010643	0.0103946	0.0103946	0.0085329	0.352496	0.3628906
-0.0603327	-0.0466392	0.0061637	-0.0131743	0.1973505	-0.0379761	0.0735746	-0.0094728	0.0840901	-0.007647	-0.0133006	-0.0095916	-0.0095916	-0.0114065	0.3664484	0.3568568
-0.0193409	-0.039006	0.0035571	-0.0094049	0.203016	-0.0330126	0.1055274	0.0329881	0.1167663	0.034394	0.0367453	0.0386119	0.0386119	0.0396493	0.3562979	0.3949097
-0.0422847	-0.03705	0.0047501	-0.0120045	0.2078107	-0.0636791	0.0893132	-0.0203715	0.0960829	-0.017759	-0.0154709	-0.0184642	-0.0184642	-0.0211206	0.3710628	0.3525986
-0.036213	-0.0465801	0.0102784	-0.0116167	0.2122149	-0.0907629	0.112586	0.0196375	0.1154085	0.0227477	0.0204612	0.0221811	0.0221811	0.0196856	0.3657643	0.3879454
-0.0495183	-0.0540783	0.0072726	-0.0132506	0.2159113	-0.1108857	0.1124783	-0.0027284	0.1123681	0.0033673	0.0016111	0.0039205	0.0039205	0.0020536	0.3725107	0.3764312
-0.0721958	-0.061002	0.0083851	-0.0157355	0.2165681	-0.1499753	0.1077959	-0.0100675	0.1019888	-0.0033436	-0.0036257	-0.0094952	-0.0094952	-0.0145765	0.3508948	0.3413996
-0.1044538	-0.086488	0.0112973	-0.0194413	0.219225	-0.2072744	0.1172527	0.0014181	0.1030949	0.0094102	0.0031544	0.0023874	0.0023874	-0.0038661	0.3673879	0.3697752
-0.1380934	-0.0987241	0.0043391	-0.0230425	0.2187376	-0.215847	0.0982772	-0.0199129	0.0828701	-0.0075992	-0.011321	-0.0139375	-0.0139375	-0.0221511	0.3563662	0.3424287
-0.1561233	-0.1194851	0.0058201	-0.0248001	0.2170702	-0.2449314	0.1092459	0.0070419	0.0896	0.0181476	0.0123561	0.0028958	0.0028958	-0.0092796	0.3382723	0.3411681
-0.1515488	-0.1432326	0.0060404	-0.0247394	0.2209047	-0.2014935	0.125265	0.0226616	0.1119497	0.0372463	0.0260506	0.0250143	0.0250143	0.0114224	0.367619	0.3926333
