@resid_ECM resid_home resid_foreign  			resid_ECMnoInv	resid_homenoInv	resid_foreingnoInv  resid_ECMbench	resid_homebench	resid_foreingbench 1979:1-2015:4@
-0.0081924	0.1111915	0.102999	-0.010299	0.3360086	0.3257096	-0.00996	0.3449202	0.3349602
-0.0190429	0.101602	0.0825591	-0.0173262	0.3292365	0.3119104	-0.0200669	0.3337483	0.3136814
0.0094496	0.1223353	0.131785	0.0094975	0.351073	0.3605704	0.0066417	0.3567977	0.3634394
0.0057675	0.113958	0.1197255	0.0019808	0.3379347	0.3399155	0.0055113	0.3493618	0.3548731
-0.0013333	0.1295963	0.1282629	-0.003567	0.3535548	0.3499879	0.0001514	0.3657411	0.3658925
-0.0102963	0.1287489	0.1184526	-0.0096004	0.352529	0.3429286	-0.009506	0.3609182	0.3514122
-0.0102911	0.1149977	0.1047066	-0.0030817	0.3483151	0.3452334	-0.0107348	0.3494929	0.3387581
-0.0051987	0.1225036	0.1173049	-0.0038538	0.3478957	0.3440418	-0.004323	0.3550079	0.350685
-0.015199	0.1109916	0.0957926	-0.0103808	0.3396074	0.3292266	-0.0171925	0.3422918	0.3250993
0.0307995	0.1017905	0.13259	0.0374684	0.3301669	0.3676353	0.0318569	0.3324214	0.3642783
0.0062165	0.1090719	0.1152885	0.0087052	0.336187	0.3448923	0.0059516	0.3411746	0.3471262
-0.0141458	0.1342501	0.1201043	-0.0173736	0.3563224	0.3389488	-0.0157451	0.3656143	0.3498692
0.0128476	0.1195214	0.132369	0.010643	0.3439873	0.3546303	0.0103947	0.3524952	0.3628899
-0.0077282	0.1333058	0.1255776	-0.0133007	0.3544854	0.3411846	-0.0095916	0.3664479	0.3568563
0.0365769	0.1259149	0.1624917	0.0367453	0.3467141	0.3834594	0.0386119	0.3562974	0.3949094
-0.0182148	0.1395966	0.1213818	-0.0154709	0.3670966	0.3516257	-0.0184642	0.3710622	0.352598
0.0199352	0.1327891	0.1527243	0.0204612	0.3568602	0.3773214	0.022181	0.3657637	0.3879447
0.0057695	0.1425044	0.1482739	0.0016112	0.3628614	0.3644726	0.0039207	0.3725103	0.376431
-0.0089504	0.1203589	0.1114085	-0.0036257	0.3500777	0.346452	-0.0094953	0.350894	0.3413987
0.0042246	0.1362534	0.1404781	0.0031544	0.3617178	0.3648722	0.0023874	0.3673874	0.3697748
-0.0083477	0.1293776	0.1210299	-0.011321	0.3519194	0.3405985	-0.0139374	0.3563657	0.3424283
0.0052044	0.1087881	0.1139925	0.0123561	0.3408939	0.3532501	0.0028957	0.3382715	0.3411672
0.0289919	0.1377427	0.1667347	0.0260506	0.3597579	0.3858084	0.0250144	0.3676186	0.3926329
-0.0178759	0.1210505	0.1031746	-0.0195771	0.344883	0.3253059	-0.0205609	0.3511694	0.3306085
-0.0053675	0.1406761	0.1353087	-0.0075242	0.3619328	0.3544087	-0.0083806	0.3683916	0.3600111
-0.0045227	0.1438309	0.1393082	0.0001277	0.371352	0.3714796	-0.0061615	0.3728985	0.3667369
0.0085676	0.1391801	0.1477477	0.0084285	0.3612667	0.3696952	0.0088351	0.3699778	0.3788129
-0.0224188	0.163998	0.1415791	-0.0269784	0.3811178	0.3541394	-0.0251565	0.3901392	0.3649827
0.0088759	0.1390009	0.1478768	0.0165867	0.3688203	0.385407	0.0099265	0.369633	0.3795594
-0.0058473	0.164698	0.1588508	-0.0114319	0.3787815	0.3673496	-0.0055079	0.3914056	0.3858978
0.0012345	0.1202848	0.1215193	0.0057146	0.3453202	0.3510348	0.0004586	0.3472835	0.3477422
0.0047953	0.1120331	0.1168284	0.0053977	0.330853	0.3362507	0.0031014	0.3350652	0.3381666
0.0132977	0.0846832	0.0979809	0.018657	0.3100836	0.3287406	0.0132872	0.3109774	0.3242646
-0.0035884	0.1052171	0.1016287	-0.0124659	0.3183824	0.3059165	-0.0067462	0.3308114	0.3240652
0.0041975	0.1050491	0.1092466	-0.0008003	0.3213688	0.3205685	0.0007538	0.3290593	0.3298132
0.0076423	0.1411476	0.1487899	0.0060445	0.3610396	0.3670841	0.0092681	0.3707859	0.3800541
